Country Name,RATE,REFG,MIL.XPAND,GDP,URBAN,STA,TECH,NET.USER,ADO,PM2.5,AGEDEP
East Asia & Pacific (excluding high income),,1023273,1.854972846,6488.381689,52.93983644,63.59586162,27.14364558,44.98204897,23.1537192,45.99353328,40.51593621
Early-demographic dividend,,5585039,2.700276069,3187.699012,44.13828116,43.45971024,9.772965669,29.79234255,40.12750352,54.44109282,55.07891049
East Asia & Pacific,,1024070,1.758209526,9512.342448,56.62924168,64.33510501,25.20633668,49.82471578,21.69404468,43.14258087,41.90654933
Europe & Central Asia (excluding high income),,580654,3.471152296,7033.628566,65.08609504,81.19404595,10.79997143,59.93206446,25.70141529,22.96560077,46.17951425
Europe & Central Asia,,620334,1.734029959,22112.39494,70.87074058,89.2146945,16.05174928,71.74412921,17.17825777,18.36902319,50.11547298
Ecuador,94.51547241,1010,2.692700492,6205.064145,63.742,80.7,7.169197661,48.94043379,75.5964,12.5,55.57777234
"Egypt, Arab Rep.",75.84262085,17930,1.733455428,3614.746766,43.135,93.1,0.783244919,35.9,51.3308,99.5,62.28639809
Euro area,,1787,1.377349895,34182.37586,75.92480434,98.69691304,15.76768298,80.28028397,7.512064557,13.93809147,54.33625576
Eritrea,73.84525299,411342,,,,7.3,,1.083733116,53.0018,35.3,
Spain,98.11450958,59,1.176089309,25831.58231,79.579,100,7.146099369,78.6896,8.311,9.6,50.76394896
Estonia,99.82350922,318,2.034399121,17118.5042,67.538,96.6,11.39697241,88.4066,12.4362,9.1,53.48614119
Ethiopia,49.03152084,85834,0.707540718,619.1694065,19.472,28.2,4.003317802,11.6,56.6122,30.1,81.56767847
European Union,,43201,1.479012938,32004.92402,74.79972272,95.82636782,15.85538593,79.62581461,10.4152859,15.03392895,53.26936683
Fragile and conflict affected situations,,12235533,4.454072477,1538.078722,40.82844138,35.28926983,,14.98630875,83.90482048,36.61486847,79.47778949
Finland,,8,1.284251897,42311.03623,84.221,88,8.727074859,92.6513,6.3768,7.2,58.26668653
Fiji,,883,1.121509587,4960.519954,53.728,88.4,2.292610182,46.32872895,45.1952,6,52.84830729
France,,94,2.102414235,36205.5681,79.52,98.9,26.84724696,84.6945,8.8148,12.1,60.26679873
Faroe Islands,,,,,41.962,,,94.2,,,
"Micronesia, Fed. Sts.",,0,,3015.231668,22.424,49,,31.50108128,14.2636,6.1,62.40419148
Gabon,83.23787689,177,1.194602857,8266.445605,87.156,31.5,,23.5,97.692,31.3,73.10581547
United Kingdom,,131,1.940252489,43875.96961,82.592,99.6,20.8121556,92.0003,13.9498,12.2,55.12194955
Georgia,99.75962067,6498,2.341325244,3795.973308,53.641,75.9,5.567077001,45.15837441,38.3292,19.7,45.673028
Ghana,76.57589722,22978,0.490802817,1369.701122,54.042,8.6,,23.47812844,66.1256,21.7,73.04414373
Gibraltar,,2,,,100,,,,,,
Guinea,30.47278976,17005,,531.3205952,37.161,11.8,0.956637362,4.7,139.5718,19.3,83.80803921
"Gambia, The",55.57276154,8491,1.481032407,471.5371955,59.632,55,,17.1198205,112.4634,39.7,94.16772402
Guinea-Bissau,59.77285004,1471,1.760433748,572.9884285,49.332,8.5,,3.540706917,87.5292,26,78.44823833
Equatorial Guinea,95.19566345,172,,14439.59445,39.923,71,,21.31999999,107.5306,34,72.85137474
Greece,95.29286957,112,2.608176957,18002.23058,78.007,98.1,10.98679549,66.835,7.2346,13.2,56.24728159
Grenada,,270,,9212.020352,35.591,98.3,,53.81,29.5644,14,50.69971504
Greenland,,,,,86.436,100,11.9967389,67.60044348,,5.2,
Guatemala,79.07421112,10284,0.430086249,3903.478856,51.571,49.3,5.019300411,27.1,80.088,33.9,70.85067193
Guam,99.78903961,,,,94.516,89.8,,73.13999995,48.1208,6.8,51.97885169
Guyana,87.53531647,511,1.425914024,4127.351018,28.553,82,0.060717614,38.2,87.5772,14.8,51.0881276
High income,,50163,2.406549456,39939.24554,81.11687243,98.96491663,17.88475605,81.01474358,13.2968262,16.25743782,51.96129864
"Hong Kong SAR, China",,33,,42327.83996,100,,10.70570851,84.94835296,3.1418,,37.02607447
Honduras,88.42458344,6844,1.549258805,2528.89355,54.73,77.7,,20.35686743,64.2684,36.2,57.76867708
Heavily indebted poor countries (HIPC),,6631129,1.159249781,872.6199597,34.58587283,21.58821567,,12.13351837,98.10111495,33.48356383,87.464866
Croatia,99.27259064,33451,1.549584146,11535.82936,58.964,95.8,8.980481306,69.8031,9.17,21.2,51.1207047
Haiti,60.68935013,34774,0,818.3432976,58.645,19.2,,12.19776638,38.88,22.1,62.26450509
Hungary,99.38088226,1443,0.840509718,12363.54346,71.227,98.6,13.73819788,72.8347,17.7074,22.6,47.87781433
IBRD only,,1743251,2.059415844,5566.301275,53.60119514,50.72690277,18.99347566,42.56249279,31.81590592,48.74332466,46.78427029
IDA & IBRD total,,14703438,2.019320137,4446.960609,48.79941664,47.07731816,18.54232499,37.11415331,48.03823838,47.03926122,54.2207464
IDA total,,12960187,1.512113903,1400.849206,35.69521,39.54143192,,22.23873864,80.41903162,42.38887948,74.49441602
IDA blend,,879236,1.730416272,2083.319217,40.9848274,49.88378019,,35.0408618,66.77355148,43.11208358,68.4360301
Indonesia,95.43768311,13956,0.886273832,3346.487039,53.742,47.5,,21.97606771,49.249,15,48.95607776
IDA only,,12080951,1.204011959,1020.303038,32.80486527,34.20348837,,15.1737595,87.06862609,41.99370373,77.79907318
Isle of Man,,,,,52.203,,,,,,
India,72.22530365,9881,2.421419177,1598.259034,32.747,28.5,7.517758047,26,23.2924,72.6,52.44887197
Not classified,,,,,,,,,,,
Ireland,,9,0.350604668,61133.67243,63.241,92.9,26.76467483,80.1224,10.0948,9.6,53.65716532
"Iran, Islamic Rep.",87.17253113,84949,,,73.375,82.3,,44.08287502,26.3422,42,40.19461907
Iraq,79.72176361,264107,7.2773549,4943.760388,69.471,83.8,,17.22,84.8498,45.2,78.69586062
Iceland,,0,,50173.33992,94.137,100,19.90161275,98.2,5.653,7.5,51.59234209
