Country Name,RATE,REFG,MIL.XPAND,GDP,URBAN,STA,TECH,NET.USER,ADO,PM2.5,AGEDEP
St. Vincent and the Grenadines,,1823,,6739.174833,50.55,,8.332507808,51.77,50.3332,13.2,46.75944547
"Venezuela, RB",95.39924622,7456,,,88.99,69.9,,61.86924809,79.0518,22.9,52.37493244
British Virgin Islands,,0,,,46.186,97.5,,,,,
Virgin Islands (U.S.),,0,,,95.335,96.4,,54.8391373,42.6438,14.7,61.19965137
Vietnam,94.51426697,313156,2.361155697,2111.138024,33.593,69.7,,52.72,39.1486,27.3,42.51143984
Vanuatu,85.05867767,1,,2805.314644,26.128,55.4,,22.35140458,42.7458,6.5,68.71967818
World,,,2.268679195,10093.29897,53.85723827,50.32001508,18.26806563,43.99831479,44.0325073,42.27352689,53.90337629
Samoa,99.01500702,1,,3938.548846,19.098,91.1,0.371489014,25.40700977,24.2898,3.7,73.98679981
Kosovo,,,0.780918669,3561.574731,,,,,,,48.10017484
"Yemen, Rep.",69.96195221,15896,,1406.291651,34.606,,4.695853281,25.0995144,60.6954,40.7,75.59514675
South Africa,94.59793854,449,1.09998226,5723.973357,64.801,60.5,5.88097093,51.91911572,44.4402,28.9,52.14352789
Zambia,85.11726379,344,1.753234112,1304.879014,40.922,35.7,5.268126023,21,87.8574,23.4,95.40232642
Zimbabwe,86.87348175,21344,2.612331949,924.1438193,32.376,30.8,2.893651173,16.36,108.9372,19.8,80.39103268
